Txhash,Blockno,UnixTimestamp,DateTime (UTC),ParentTxFrom,ParentTxTo,ParentTxETH_Value,From,TxTo,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1592.82520522149/Eth,Historical $Price/Eth,Status,ErrCode,Type,
0x25f123c6b2fecbe53506045b18d791b6cf7bb619fec936645849dcc8f201f7a8,12318143,1619469080,2021-04-26 20:31:20,0x13adf7762bbc0a2f23bedcdac4b5a1f65307c502,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0x542f2980386a55832f457c3645af5ecf5e500c20,,5000,0,7964126.02610745,2534.90,0,,call,
0x226ee30b729f700faa26cc7302fb09c6cae9533d3d81c924b16bec74e5371e17,13044658,1629228903,2021-08-17 19:35:03,0x13adf7762bbc0a2f23bedcdac4b5a1f65307c502,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0x542f2980386a55832f457c3645af5ecf5e500c20,,3000,0,4778475.61566447,3011.96,0,,call,
0x8807906b0c6c48006b949877daa5b4337bf32996ae457bdaab834a65278f1e25,13135659,1630444116,2021-08-31 21:08:36,0xb24608a48309c7df3a05033e15ce81192a12c12a,0x1bd60a32e0e8412f523f38525f11018207802a36,0,0x1bd60a32e0e8412f523f38525f11018207802a36,0x542f2980386a55832f457c3645af5ecf5e500c20,,0.25,0,398.206301305373,3435.17,0,,call,
0x9fe674617f1308f16e17ea93f3cfdab25f0880b4bbcdbce7122da83c126d13ec,13138803,1630486584,2021-09-01 08:56:24,0xb24608a48309c7df3a05033e15ce81192a12c12a,0x1bd60a32e0e8412f523f38525f11018207802a36,0,0x1bd60a32e0e8412f523f38525f11018207802a36,0x542f2980386a55832f457c3645af5ecf5e500c20,,0.2,0,318.565041044298,3829.18,0,,call,
0xb873a1159027b2959ddf77d796d90991cccb2f7555b28f4ccff5668cfdc805e5,16179862,1670983823,2022-12-14 02:10:23,0x57f24c0e2aaca9d54a4ab0a83d2ff8dc6473c6ca,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0x542f2980386a55832f457c3645af5ecf5e500c20,,0.01,0,15.9282520522149,1307.50,0,,call,
